sensor_index,name,latitude,longitude,location_type,hardware
133578,UNT-GEO-44005,32.998234,-96.98067,0,2.0+PMSX003-B+PMSX003-A
133594,UNT-GEO-44062,32.99867,-96.97599,0,2.0+PMSX003-B+PMSX003-A
2644,Sachse Farms,32.99084,-96.5993,0,2.0+1M+BME280+PMSX003-B+PMSX003-A
135002,Pioneer75061,32.828964,-96.99985,0,2.0+PMSX003-B+PMSX003-A
144032,LOCHWOOD,32.861404,-96.68724,0,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A
12969,Meadow Glen,32.991665,-96.85915,0,2.0+BME280+PMSX003-B+PMSX003-A
13013,GP001,32.767982,-97.035995,0,2.0+BME280+PMSX003-B+PMSX003-A
144468,R6 ARPM Test,32.77853,-96.801384,0,2.0+BME280+PMSX003-B+PMSX003-A
147038,"Bent Creek Trl, Dallas",33.00878,-96.80816,0,2.0+BME280+PMSX003-B+PMSX003-A
16271,Arbormont Estates,32.882004,-97.08413,0,2.0+BME280+PMSX003-B+PMSX003-A
27891,Bedford 2,32.777695,-96.865845,0,2.0+BME280+PMSX003-B+PMSX003-A
174079,Deep Ellum,32.78341,-96.7853,0,2.0+BME280+PMSX003-B+PMSX003-A
59953,Branch Crossing,32.91892,-96.888405,0,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A
80533,"6057 preston haven drive, Dallas, TX 75230",32.907227,-96.80178,0,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A
87721,Garland,32.96388,-96.63465,0,2.0+BME280+PMSX003-B+PMSX003-A
90785,HeathWeather,32.81998,-96.466545,0,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A
99271,UNT-GEO-10005,33.01354,-96.98837,0,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A
99275,UNT-GEO-10009,33.011925,-96.993286,0,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A
99297,UNT-GEO-10006,33.014244,-96.99328,0,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A
105026,Akron,32.776737,-96.85855,0,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A
105138,Joppa1,32.71654,-96.74249,0,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A
109566,Singletree Cove,32.576748,-97.008194,0,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A
113642,UNT-GEO-33,33.012363,-96.90979,0,2.0+OPENLOG+15980 MB+DS3231+BME280+PMSX003-B+PMSX003-A
120681,Coppell-N-Moore,32.97801,-96.97727,0,2.0+BME280+PMSX003-B+PMSX003-A
123353,St Philip's,32.75928,-96.77543,0,2.0+BME280+PMSX003-B+PMSX003-A
123409,FloralFarms1,32.686947,-96.73787,0,2.0+BME280+PMSX003-B+PMSX003-A
123453,Cedar Crest,32.73404,-96.792435,0,2.0+BME280+PMSX003-B+PMSX003-A
128645,Yes,32.836563,-96.810425,0,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A
