time_stamp,sensor_index,humidity,temperature,pressure,pm1.0_atm,pm2.5_atm,pm10.0_atm
2023-01-15 00:00:00+00:00,144032,27.334,62.433,999.361,3.7425,5.4985,6.758
2023-01-15 01:00:00+00:00,144032,29.666,60.5,999.022,4.861000000000001,7.095,8.5785
2023-01-15 02:00:00+00:00,144032,32.467,58.5,998.658,5.075,7.349,8.834
2023-01-15 03:00:00+00:00,144032,34.0,58.0,998.565,6.429,9.1645,10.913
2023-01-15 04:00:00+00:00,144032,35.3,57.267,998.486,9.619,13.461,15.486
2023-01-15 05:00:00+00:00,144032,38.034,56.166,997.749,11.354,15.9775,18.9565
2023-01-15 06:00:00+00:00,144032,41.333,55.067,997.034,12.742,17.97,21.1545
2023-01-15 07:00:00+00:00,144032,47.767,54.933,996.475,11.9655,16.999000000000002,19.9275
2023-01-15 08:00:00+00:00,144032,52.867,54.2,996.29,10.474,15.0985,17.83
2023-01-15 09:00:00+00:00,144032,56.966,54.0,995.953,8.798,12.872,15.2415
2023-01-15 10:00:00+00:00,144032,60.966,54.0,995.379,7.58,11.26,13.3965
2023-01-15 11:00:00+00:00,144032,63.167,54.0,995.241,8.0755,12.200500000000002,14.694
2023-01-15 12:00:00+00:00,144032,63.9,53.133,995.242,10.4535,15.7485,19.1605
2023-01-15 13:00:00+00:00,144032,66.533,52.834,995.096,13.422,20.544,25.7815
2023-01-15 14:00:00+00:00,144032,66.633,54.533,995.164,13.695,21.02,25.885
2023-01-15 15:00:00+00:00,144032,62.4,58.8,995.18,10.384,15.765,19.1625
2023-01-15 16:00:00+00:00,144032,56.034,63.0,994.822,7.149,10.861,13.106
2023-01-15 17:00:00+00:00,144032,49.833,68.567,993.253,3.3075,5.0995,6.4175
2023-01-15 18:00:00+00:00,144032,43.6,72.533,991.396,1.4545,2.5235,3.91
2023-01-15 19:00:00+00:00,144032,40.767,74.733,989.872,1.732,2.805,3.9505
2023-01-15 20:00:00+00:00,144032,41.133,75.0,989.141,2.1965,3.3635,4.4465
2023-01-15 21:00:00+00:00,144032,42.367,74.667,988.064,2.678,4.0085,5.4135
2023-01-15 22:00:00+00:00,144032,43.9,74.767,988.222,3.331,4.944,6.4765
2023-01-15 23:00:00+00:00,144032,46.3,73.1,987.537,3.994,5.7745,7.371
2023-01-16 00:00:00+00:00,144032,48.6,71.966,987.995,4.9055,7.008,8.94
2023-01-16 01:00:00+00:00,144032,48.1,72.7,988.663,3.954,5.872999999999999,7.846500000000001
2023-01-16 02:00:00+00:00,144032,48.867,72.0,988.022,2.582,4.1845,6.1495
2023-01-16 03:00:00+00:00,144032,49.1,71.966,988.281,2.004,3.3335,5.4
2023-01-16 04:00:00+00:00,144032,50.133,72.0,988.408,1.5445,2.827,5.0135000000000005
2023-01-16 05:00:00+00:00,144032,52.466,71.533,988.199,1.5205000000000002,2.7815,4.917999999999999
2023-01-16 06:00:00+00:00,144032,55.0,71.133,987.846,1.7055,3.128,5.69
2023-01-16 07:00:00+00:00,144032,56.7,71.0,987.478,1.854,3.4765,6.001
2023-01-16 08:00:00+00:00,144032,56.9,71.066,987.84,2.077,3.6925,6.3945
2023-01-16 09:00:00+00:00,144032,57.033,71.034,987.88,2.2635,3.95,6.4185
2023-01-16 10:00:00+00:00,144032,57.367,71.0,987.896,2.62,4.361,6.6005
2023-01-16 11:00:00+00:00,144032,58.333,70.933,987.704,3.776,5.7445,8.389
2023-01-16 12:00:00+00:00,144032,58.6,71.0,988.103,4.7655,7.015000000000001,9.4215
2023-01-16 13:00:00+00:00,144032,58.334,71.0,988.803,5.263,7.784499999999999,10.5905
2023-01-16 14:00:00+00:00,144032,57.034,71.633,989.42,5.445,7.909499999999999,10.403
2023-01-16 15:00:00+00:00,144032,52.367,74.034,989.76,5.794,8.430499999999999,11.038
2023-01-16 16:00:00+00:00,144032,47.766,76.267,989.987,5.499499999999999,7.8825,10.5705
2023-01-16 17:00:00+00:00,144032,43.466,78.767,989.413,5.5435,7.88,10.279
2023-01-16 18:00:00+00:00,144032,37.6,80.767,988.413,4.412,6.3740000000000006,8.3195
2023-01-16 19:00:00+00:00,144032,31.3,82.9,987.149,3.734,5.590999999999999,7.3505
2023-01-16 20:00:00+00:00,144032,27.833,83.666,986.396,2.037,3.236,4.6315
2023-01-16 21:00:00+00:00,144032,26.633,83.767,986.125,1.7755,2.883,4.166
2023-01-16 22:00:00+00:00,144032,26.9,81.733,986.16,1.6535,2.7335,4.043
2023-01-16 23:00:00+00:00,144032,26.2,79.233,986.254,1.3355,2.2695,3.5015
2023-01-17 00:00:00+00:00,144032,27.967,76.434,986.534,2.4175,3.7355,5.2010000000000005
2023-01-17 01:00:00+00:00,144032,31.534,73.3,986.997,4.3395,6.403,8.019499999999999
2023-01-17 02:00:00+00:00,144032,35.633,70.575,987.264,6.079,8.837,10.8545
2023-01-17 03:00:00+00:00,144032,38.967,68.3,987.379,7.3605,10.4745,13.431
2023-01-17 04:00:00+00:00,144032,42.3,67.834,987.452,7.250999999999999,10.357,13.017
